JobTitle,Location,ExperienceRequired,SkillsRequired,Salary,JobURL,JobDescriptionSummary
Human Resources (HR),Not Specified,Not Specified,MS-Office,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/human-resources-hr-internship-in-mumbai-at-hungama-digital-media-entertainment-private-limited1774257061,"Selected intern's day-to-day responsibilities include:

A. Recruitment & Calling:
1. Source candidates through job portals, referrals, and social media platforms
2. Screen resumes as per job requirements
3. Conduct initial HR telephonic interviews an"
Human Resources (HR),Not Specified,Not Specified,MS-Office,"₹ 7,000 - 10,000 /month",https://internshala.com/internship/detail/human-resources-hr-internship-in-delhi-at-bloom-hotel-group1774249688,"Selected intern's day-to-day responsibilities include: 

1. Onboarding
2. Filing Management
3. Follow-ups & coordination with departments"
Business Development (Sales),Not Specified,Not Specified,Email Marketing,"₹ 2,000 - 20,000 /month",https://internshala.com/internship/detail/work-from-home-business-development-sales-internship-at-angel-one-ap1774250269,Are you a dynamic and driven individual looking to kickstart your career in sales and business development? Look no further than Suryavanshi Fisnerv company! We are seeking a talented Business Development (Sales) intern to join our team and help us d
Business Development (Sales),Not Specified,Not Specified,Social Media Marketing,"₹ 2,000 - 10,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-business-development-sales-internship-at-angel-one-ap1774250096,"Selected intern's day-to-day responsibilities include:

1. Attending webinar and understanding about the stock market (equity, future, and option)
2. Working on lead generation & searching for people interested in the stock market
3. Convincing them "
Merchandising,Not Specified,Not Specified,Merchandising,"₹ 10,000 /month",https://internshala.com/internship/detail/merchandising-internship-in-multiple-locations-at-paracoat-products-limited1774159333,We are building our own branded merchandise line and are looking for a creative and execution-focused Merchandising Intern to join us. This role is ideal for someone who enjoys blending creativity with operations   helping bring ideas to life from co
Videography,Not Specified,Not Specified,Adobe Photoshop,"₹ 5,000 - 10,000 /month",https://internshala.com/internship/detail/videography-internship-in-uttarkashi-at-shunya-digital1774122300,"Selected intern's day-to-day responsibilities include: 

1. Shoot daily content at Gangotri Dham, Uttarkashi ashram, and surrounding Himalayan locations
2. Film and produce Instagram Reels     including Ganga aarti, satsang excerpts, nature visuals, "
Sales and Marketing,Not Specified,Not Specified,Client Relationship Management (CRM),"₹ 12,000 - 15,000 /month",https://internshala.com/internship/detail/sales-and-marketing-internship-in-multiple-locations-at-caratlane-trading-private-limited1774073124,"Selected intern's day-to-day responsibilities include:

1. Assist the sales team during customer interactions and store operations.
2. Help with product handling, billing support, and customer follow-ups.
3. Support visual merchandising and store rea"
Financial Research & Content Writing (NBFC Sector),Not Specified,Not Specified,Content Writing,"₹ 1,000 - 3,000 /month",https://internshala.com/internship/detail/work-from-home-financial-research-content-writing-nbfc-sector-internship-at-shunya-digital1774072310,"Selected intern's day-to-day responsibilities include: 

1. Research and write in-depth blog articles and analytical pieces on the Indian NBFC sector- covering business model basics, revenue streams, asset quality, and regulatory frameworks
2. Compar"
Content Research,Not Specified,Not Specified,Content Writing,"₹ 8,000 - 10,000 /month",https://internshala.com/internship/detail/content-research-internship-in-delhi-at-tedxgateway1774003289,"Jump into content research, build meaningful relationships with speakers, and help curate impactful events - fueled by your curiosity and drive. While we're based in New Delhi, your work will influence audiences globally, bridging cultures and sparki"
Marketing,Not Specified,Not Specified,MS-Excel,"₹ 13,000 - 40,000 /month",https://internshala.com/internship/detail/marketing-internship-in-gurgaon-at-cosmo-realtors1773926926,"Are you a growth marketing & sales enthusiast looking to gain hands-on experience in the real estate industry? Look no further! Join our team at Cosmo Realtors as a marketing intern and take your skills to the next level. 

Selected intern's day-to-d"
AI Agent Development,Not Specified,Not Specified,Python,"₹ 10,000 - 28,000 /month",https://internshala.com/internship/detail/ai-agent-development-internship-in-delhi-at-shunya-digital1773909784,"Selected intern's day-to-day responsibilities include:

1. Build and maintain the lead intelligence engine     when a prospect fills our home loan calculator, an automated workflow generates a personalised savings report using the Claude API and deli"
Business Development (Sales),Not Specified,Not Specified,Social Media Marketing,"₹ 10,000 - 28,000 /month",https://internshala.com/internship/detail/business-development-sales-internship-in-delhi-at-shunya-digital1773908593,"Selected intern's day-to-day responsibilities include:

1. Identify and build a pipeline of potential clients     working professionals with home loans, individuals who are under insured, and people looking to invest. You will define who to target, n"
